team,num_games,low,high,total,avg
Golden State Valkyries,23,18064,18543,415951,18084.83
Indiana Fever,25,15012,17274,413536,16541.44
New York Liberty,23,14774,17532,376124,16353.22
Los Angeles Sparks,22,10581,18199,273709,12441.32
Phoenix Mercury,28,8024,17071,338932,12104.71
Seattle Storm,23,9091,18343,272877,11864.22
Las Vegas Aces,29,10266,18547,327103,11279.41
Minnesota Lynx,25,7808,16421,248834,9953.36
Chicago Sky,22,6572,19601,199601,9072.77
Connecticut Sun,22,6848,19156,190369,8653.14
Dallas Wings,22,5228,20409,159998,7272.64
Washington Mystics,22,4200,11183,116666,5303.00
Atlanta Dream,24,3265,17044,106160,4423.33