arena,team,capacity,msa
Target Center,Minnesota Lynx,20000,"Minneapolis-St. Paul-Bloomington, MN-WI"
Crypto.com Arena,Los Angeles Sparks,19079,"Los Angeles-Long Beach-Anaheim, CA"
Climate Pledge Arena,Seattle Storm,18300,"Seattle-Tacoma-Bellevue, WA"
Chase Center,Golden State Valkyries,18064,"San Francisco-Oakland-Fremont, CA"
Gainbridge Fieldhouse,Indiana Fever,18000,"Indianapolis-Carmel-Greenwood, IN"
Barclays Center,New York Liberty,17732,"New York-Newark-Jersey City, NY-NJ"
PHX Arena,Phoenix Mercury,17071,"Phoenix-Mesa-Chandler, AZ"
Michelob Ultra Arena,Las Vegas Aces,12000,"Las Vegas-Henderson-North Las Vegas, NV"
Wintrust Arena,Chicago Sky,10387,"Chicago-Naperville-Elgin, IL-IN"
Mohegan Sun Arena,Connecticut Sun,9323,"Hartford-East Hartford-Middletown, CT"
College Park Center,Dallas Wings,7000,"Dallas-Fort Worth-Arlington, TX"
CareFirst Arena,Washington Mystics,4200,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Gateway Center Arena,Atlanta Dream,3500,"Atlanta-Sandy Springs-Roswell, GA"